ShipName,planet,coord_place,direction,password
LOСА-302,Голевард,70 -52,9 -6,ардOСГо
BНВB-560,Угариния,54 -73,-10 -9,нияНВУг
ЬSТА-367,Жезл Саурона,-35 -13,-7 1,онаSТЖе
OADС-556,Шамлария,0 0,-10 4,рияADШа
OFYB-294,Золотая Даль,-42 -3,-3 8,альFYЗо
ХPВH-805,Жезл Саурона,-89 62,6 -3,онаPВЖе
VСЭT-405,Нейландия,74 -5,8 4,дияСЭНе
НLЙO-968,Наразиния,-5 1,-2 4,нияLЙНа
БUВУ-873,Тальсария,-17 99,-1 1,рияUВТа
СНRO-490,Мирондия,-88 60,-8 5,дияНRМи
TТДI-935,Беренс,80 -83,4 -3,енсТДБе
НЦUК-690,Фангорн,94 80,-10 5,орнЦUФа
КNPE-304,Халасия,-80 -79,1 -8,сияNPХа
ЖКDК-209,Ширифповерье,83 84,8 -5,рьеКDШи
ЭKFБ-921,Наразиния,0 0,1 -6,нияKFНа
CZЭГ-887,Моргариан,-30 53,6 8,ианZЭМо
ЪTЬП-320,Валинор,-70 -44,-2 -7,норTЬВа
TRYС-982,Арда,-59 77,9 9,рдаRYАр
WПШЗ-61,Шадирия,-81 -8,-1 3,рияПШШа
МЭRU-259,Юэгусия,0 0,5 -6,сияЭRЮэ
BМVО-810,Золотонос,-8 -96,1 1,носМVЗо
ЦLМК-937,Абеллио,-19 -26,-5 -2,лиоLМАб
MAFС-471,Лузия,77 -47,1 8,зияAFЛу
BAMS-209,Харад,-75 -81,-6 6,радAMХа
FAОQ-722,Голевард,10 -77,-9 -5,ардAОГо
PШКЬ-178,Хилварика,-41 31,-4 -6,икаШКХи
ГEYЪ-555,Гординия,99 -43,3 -6,нияEYГо
ЫVДQ-284,Острудария,-27 79,2 7,рияVДОс
GRДA-175,Ясмария,-62 38,-6 -3,рияRДЯс
ЮЙНЭ-279,Нимасия,32 34,-8 8,сияЙННи
ООТГ-929,Цитрамор,0 17,3 -3,морОТЦи
BЭSD-149,Чавланшан,-76 -60,0 4,шанЭSЧа
ЦLРJ-393,Оладария,18 -83,6 8,рияLРОл
VBЬS-701,Яентарин,-59 -26,-4 4,ринBЬЯе
YСGV-462,Утопия,0 -20,9 -8,пияСGУт
CФOЕ-853,Абеллио,-79 -87,-8 9,лиоФOАб
ЗПФБ-132,Идаллия,-87 -10,-9 -5,лияПФИд
РCUЛ-201,Ширифповерье,2 -52,-6 -4,рьеCUШи
ZGГЛ-684,Ривенделл,-24 -63,-9 -7,еллGГРи
AСBN-655,Шамлария,13 -86,-10 -8,рияСBШа
ZTЕC-122,Царкония,75 -29,3 9,нияTЕЦа
РEШZ-584,Голевард,-39 -74,-1 0,ардEШГо
ХЫВH-565,Сирмария,14 43,1 -7,рияЫВСи
YJСУ-431,Саурон,31 -100,-6 -3,ронJССа
BЛШБ-897,Праметия,-52 -19,0 -1,тияЛШПр
